Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 235 | GridSize: 4
Generation 2 | Revalues: 357 | GridSize: 3
Generation 3 | Revalues: 484 | GridSize: 4
Generation 4 | Revalues: 612 | GridSize: 5
Generation 5 | Revalues: 741 | GridSize: 7
Generation 6 | Revalues: 864 | GridSize: 7
Generation 7 | Revalues: 991 | GridSize: 8
Generation 8 | Revalues: 1110 | GridSize: 9
Generation 9 | Revalues: 1235 | GridSize: 9
Generation 10 | Revalues: 1361 | GridSize: 9
Generation 11 | Revalues: 1490 | GridSize: 8
Generation 12 | Revalues: 1616 | GridSize: 8
Generation 13 | Revalues: 1747 | GridSize: 8
Generation 14 | Revalues: 1880 | GridSize: 7
Generation 15 | Revalues: 2009 | GridSize: 7
Generation 16 | Revalues: 2136 | GridSize: 9
Generation 17 | Revalues: 2259 | GridSize: 9
Generation 18 | Revalues: 2390 | GridSize: 9
Generation 19 | Revalues: 2524 | GridSize: 8
Generation 20 | Revalues: 2654 | GridSize: 8
Generation 21 | Revalues: 2778 | GridSize: 7
Generation 22 | Revalues: 2901 | GridSize: 8
Generation 23 | Revalues: 3025 | GridSize: 8
Generation 24 | Revalues: 3151 | GridSize: 8
Generation 25 | Revalues: 3280 | GridSize: 8
Generation 26 | Revalues: 3406 | GridSize: 9
Generation 27 | Revalues: 3528 | GridSize: 9
Generation 28 | Revalues: 3654 | GridSize: 9
Generation 29 | Revalues: 3786 | GridSize: 9
Generation 30 | Revalues: 3918 | GridSize: 9
Generation 31 | Revalues: 4041 | GridSize: 9
Generation 32 | Revalues: 4168 | GridSize: 9
Generation 33 | Revalues: 4291 | GridSize: 9
Generation 34 | Revalues: 4423 | GridSize: 9
Generation 35 | Revalues: 4550 | GridSize: 9
Generation 36 | Revalues: 4676 | GridSize: 9
Generation 37 | Revalues: 4798 | GridSize: 9
Generation 38 | Revalues: 4922 | GridSize: 9
Generation 39 | Revalues: 5038 | GridSize: 9
Generation 40 | Revalues: 5165 | GridSize: 9
Generation 41 | Revalues: 5293 | GridSize: 9
Generation 42 | Revalues: 5412 | GridSize: 9
Generation 43 | Revalues: 5540 | GridSize: 9
Generation 44 | Revalues: 5665 | GridSize: 9
Generation 45 | Revalues: 5787 | GridSize: 9
Generation 46 | Revalues: 5916 | GridSize: 8
Generation 47 | Revalues: 6040 | GridSize: 8
Generation 48 | Revalues: 6170 | GridSize: 9
Generation 49 | Revalues: 6300 | GridSize: 10
Generation 50 | Revalues: 6422 | GridSize: 10
Generation 51 | Revalues: 6546 | GridSize: 10
Generation 52 | Revalues: 6679 | GridSize: 10
Generation 53 | Revalues: 6806 | GridSize: 10
Generation 54 | Revalues: 6930 | GridSize: 10
Generation 55 | Revalues: 7060 | GridSize: 10
Generation 56 | Revalues: 7183 | GridSize: 10
Generation 57 | Revalues: 7304 | GridSize: 10
Generation 58 | Revalues: 7439 | GridSize: 10
Generation 59 | Revalues: 7566 | GridSize: 10
Generation 60 | Revalues: 7689 | GridSize: 10
Generation 61 | Revalues: 7812 | GridSize: 10
Generation 62 | Revalues: 7942 | GridSize: 10
Generation 63 | Revalues: 8070 | GridSize: 10
Generation 64 | Revalues: 8193 | GridSize: 10
Generation 65 | Revalues: 8313 | GridSize: 10
Generation 66 | Revalues: 8437 | GridSize: 10
Generation 67 | Revalues: 8563 | GridSize: 10
Generation 68 | Revalues: 8694 | GridSize: 10
Generation 69 | Revalues: 8822 | GridSize: 10
Generation 70 | Revalues: 8946 | GridSize: 10
