Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 229 | GridSize: 7
Generation 2 | Revalues: 355 | GridSize: 7
Generation 3 | Revalues: 481 | GridSize: 7
Generation 4 | Revalues: 606 | GridSize: 9
Generation 5 | Revalues: 728 | GridSize: 7
Generation 6 | Revalues: 854 | GridSize: 8
Generation 7 | Revalues: 978 | GridSize: 9
Generation 8 | Revalues: 1103 | GridSize: 10
Generation 9 | Revalues: 1223 | GridSize: 10
Generation 10 | Revalues: 1346 | GridSize: 11
Generation 11 | Revalues: 1467 | GridSize: 12
Generation 12 | Revalues: 1590 | GridSize: 13
Generation 13 | Revalues: 1713 | GridSize: 13
Generation 14 | Revalues: 1837 | GridSize: 13
Generation 15 | Revalues: 1963 | GridSize: 13
Generation 16 | Revalues: 2085 | GridSize: 13
Generation 17 | Revalues: 2213 | GridSize: 13
Generation 18 | Revalues: 2344 | GridSize: 12
Generation 19 | Revalues: 2469 | GridSize: 12
Generation 20 | Revalues: 2586 | GridSize: 9
Generation 21 | Revalues: 2705 | GridSize: 8
Generation 22 | Revalues: 2829 | GridSize: 8
Generation 23 | Revalues: 2948 | GridSize: 8
Generation 24 | Revalues: 3077 | GridSize: 7
Generation 25 | Revalues: 3195 | GridSize: 7
Generation 26 | Revalues: 3325 | GridSize: 8
Generation 27 | Revalues: 3456 | GridSize: 9
Generation 28 | Revalues: 3583 | GridSize: 9
Generation 29 | Revalues: 3709 | GridSize: 9
Generation 30 | Revalues: 3832 | GridSize: 10
Generation 31 | Revalues: 3955 | GridSize: 10
Generation 32 | Revalues: 4078 | GridSize: 10
Generation 33 | Revalues: 4206 | GridSize: 10
Generation 34 | Revalues: 4331 | GridSize: 10
Generation 35 | Revalues: 4453 | GridSize: 10
Generation 36 | Revalues: 4579 | GridSize: 10
Generation 37 | Revalues: 4709 | GridSize: 10
Generation 38 | Revalues: 4832 | GridSize: 10
Generation 39 | Revalues: 4954 | GridSize: 10
Generation 40 | Revalues: 5076 | GridSize: 10
Generation 41 | Revalues: 5207 | GridSize: 10
Generation 42 | Revalues: 5337 | GridSize: 10
Generation 43 | Revalues: 5461 | GridSize: 10
Generation 44 | Revalues: 5588 | GridSize: 10
Generation 45 | Revalues: 5715 | GridSize: 10
Generation 46 | Revalues: 5839 | GridSize: 10
Generation 47 | Revalues: 5966 | GridSize: 11
Generation 48 | Revalues: 6089 | GridSize: 11
Generation 49 | Revalues: 6213 | GridSize: 11
Generation 50 | Revalues: 6341 | GridSize: 11
Generation 51 | Revalues: 6469 | GridSize: 11
Generation 52 | Revalues: 6594 | GridSize: 11
Generation 53 | Revalues: 6719 | GridSize: 11
Generation 54 | Revalues: 6849 | GridSize: 11
Generation 55 | Revalues: 6979 | GridSize: 11
Generation 56 | Revalues: 7104 | GridSize: 11
Generation 57 | Revalues: 7224 | GridSize: 11
Generation 58 | Revalues: 7350 | GridSize: 11
Generation 59 | Revalues: 7480 | GridSize: 11
Generation 60 | Revalues: 7607 | GridSize: 11
Generation 61 | Revalues: 7729 | GridSize: 11
Generation 62 | Revalues: 7856 | GridSize: 11
Generation 63 | Revalues: 7985 | GridSize: 11
Generation 64 | Revalues: 8112 | GridSize: 11
Generation 65 | Revalues: 8235 | GridSize: 11
Generation 66 | Revalues: 8358 | GridSize: 11
Generation 67 | Revalues: 8483 | GridSize: 11
Generation 68 | Revalues: 8607 | GridSize: 11
Generation 69 | Revalues: 8731 | GridSize: 11
Generation 70 | Revalues: 8860 | GridSize: 11
Generation 71 | Revalues: 8989 | GridSize: 12
Generation 72 | Revalues: 9114 | GridSize: 13
Generation 73 | Revalues: 9242 | GridSize: 13
Generation 74 | Revalues: 9367 | GridSize: 13
Generation 75 | Revalues: 9492 | GridSize: 12
Generation 76 | Revalues: 9619 | GridSize: 13
Generation 77 | Revalues: 9740 | GridSize: 13
Generation 78 | Revalues: 9864 | GridSize: 13
Generation 79 | Revalues: 9988 | GridSize: 13
Generation 80 | Revalues: 10116 | GridSize: 13
Generation 81 | Revalues: 10239 | GridSize: 13
Generation 82 | Revalues: 10365 | GridSize: 13
Generation 83 | Revalues: 10489 | GridSize: 13
Generation 84 | Revalues: 10615 | GridSize: 13
Generation 85 | Revalues: 10748 | GridSize: 13
Generation 86 | Revalues: 10877 | GridSize: 13
Generation 87 | Revalues: 11001 | GridSize: 13
Generation 88 | Revalues: 11125 | GridSize: 13
Generation 89 | Revalues: 11244 | GridSize: 13
Generation 90 | Revalues: 11369 | GridSize: 12
Generation 91 | Revalues: 11496 | GridSize: 12
Generation 92 | Revalues: 11620 | GridSize: 12
Generation 93 | Revalues: 11738 | GridSize: 12
Generation 94 | Revalues: 11866 | GridSize: 12
Generation 95 | Revalues: 11994 | GridSize: 12
Generation 96 | Revalues: 12124 | GridSize: 12
Generation 97 | Revalues: 12242 | GridSize: 12
Generation 98 | Revalues: 12360 | GridSize: 12
Generation 99 | Revalues: 12482 | GridSize: 12
Generation 100 | Revalues: 12609 | GridSize: 12
Generation 101 | Revalues: 12737 | GridSize: 12
Generation 102 | Revalues: 12867 | GridSize: 12
Generation 103 | Revalues: 12995 | GridSize: 13
Generation 104 | Revalues: 13119 | GridSize: 13
Generation 105 | Revalues: 13243 | GridSize: 13
Generation 106 | Revalues: 13362 | GridSize: 13
Generation 107 | Revalues: 13493 | GridSize: 13
Generation 108 | Revalues: 13621 | GridSize: 13
Generation 109 | Revalues: 13754 | GridSize: 13
Generation 110 | Revalues: 13875 | GridSize: 13
Generation 111 | Revalues: 13994 | GridSize: 13
Generation 112 | Revalues: 14117 | GridSize: 13
Generation 113 | Revalues: 14238 | GridSize: 13
Generation 114 | Revalues: 14359 | GridSize: 13
Generation 115 | Revalues: 14484 | GridSize: 12
Generation 116 | Revalues: 14612 | GridSize: 12
Generation 117 | Revalues: 14738 | GridSize: 12
Generation 118 | Revalues: 14864 | GridSize: 12
Generation 119 | Revalues: 14990 | GridSize: 13
Generation 120 | Revalues: 15120 | GridSize: 13
Generation 121 | Revalues: 15247 | GridSize: 13
Generation 122 | Revalues: 15380 | GridSize: 13
Generation 123 | Revalues: 15504 | GridSize: 13
Generation 124 | Revalues: 15635 | GridSize: 13
Generation 125 | Revalues: 15768 | GridSize: 13
Generation 126 | Revalues: 15898 | GridSize: 13
Generation 127 | Revalues: 16028 | GridSize: 13
Generation 128 | Revalues: 16156 | GridSize: 13
Generation 129 | Revalues: 16281 | GridSize: 13
Generation 130 | Revalues: 16409 | GridSize: 13
Generation 131 | Revalues: 16533 | GridSize: 13
Generation 132 | Revalues: 16663 | GridSize: 13
Generation 133 | Revalues: 16794 | GridSize: 13
Generation 134 | Revalues: 16916 | GridSize: 13
Generation 135 | Revalues: 17047 | GridSize: 13
Generation 136 | Revalues: 17173 | GridSize: 13
Generation 137 | Revalues: 17297 | GridSize: 14
Generation 138 | Revalues: 17425 | GridSize: 14
Generation 139 | Revalues: 17555 | GridSize: 14
Generation 140 | Revalues: 17680 | GridSize: 14
Generation 141 | Revalues: 17807 | GridSize: 14
Generation 142 | Revalues: 17932 | GridSize: 14
Generation 143 | Revalues: 18055 | GridSize: 14
Generation 144 | Revalues: 18180 | GridSize: 14
Generation 145 | Revalues: 18307 | GridSize: 14
Generation 146 | Revalues: 18431 | GridSize: 14
Generation 147 | Revalues: 18561 | GridSize: 14
Generation 148 | Revalues: 18687 | GridSize: 14
Generation 149 | Revalues: 18807 | GridSize: 14
Generation 150 | Revalues: 18932 | GridSize: 14
Generation 151 | Revalues: 19060 | GridSize: 14
Generation 152 | Revalues: 19182 | GridSize: 14
Generation 153 | Revalues: 19312 | GridSize: 14
Generation 154 | Revalues: 19439 | GridSize: 14
Generation 155 | Revalues: 19557 | GridSize: 14
Generation 156 | Revalues: 19683 | GridSize: 14
Generation 157 | Revalues: 19806 | GridSize: 14
Generation 158 | Revalues: 19930 | GridSize: 14
Generation 159 | Revalues: 20054 | GridSize: 14
Generation 160 | Revalues: 20179 | GridSize: 14
Generation 161 | Revalues: 20309 | GridSize: 14
Generation 162 | Revalues: 20437 | GridSize: 14
Generation 163 | Revalues: 20566 | GridSize: 14
Generation 164 | Revalues: 20690 | GridSize: 14
Generation 165 | Revalues: 20817 | GridSize: 14
Generation 166 | Revalues: 20941 | GridSize: 14
Generation 167 | Revalues: 21063 | GridSize: 14
Generation 168 | Revalues: 21190 | GridSize: 14
Generation 169 | Revalues: 21316 | GridSize: 14
Generation 170 | Revalues: 21440 | GridSize: 14
Generation 171 | Revalues: 21567 | GridSize: 14
Generation 172 | Revalues: 21695 | GridSize: 14
Generation 173 | Revalues: 21817 | GridSize: 14
Generation 174 | Revalues: 21942 | GridSize: 14
Generation 175 | Revalues: 22071 | GridSize: 14
Generation 176 | Revalues: 22193 | GridSize: 14
Generation 177 | Revalues: 22308 | GridSize: 14
Generation 178 | Revalues: 22435 | GridSize: 14
Generation 179 | Revalues: 22557 | GridSize: 14
Generation 180 | Revalues: 22685 | GridSize: 14
Generation 181 | Revalues: 22811 | GridSize: 14
Generation 182 | Revalues: 22937 | GridSize: 14
Generation 183 | Revalues: 23068 | GridSize: 14
Generation 184 | Revalues: 23198 | GridSize: 14
Generation 185 | Revalues: 23324 | GridSize: 14
Generation 186 | Revalues: 23455 | GridSize: 14
Generation 187 | Revalues: 23580 | GridSize: 14
Generation 188 | Revalues: 23705 | GridSize: 14
Generation 189 | Revalues: 23831 | GridSize: 14
Generation 190 | Revalues: 23959 | GridSize: 14
Generation 191 | Revalues: 24081 | GridSize: 15
Generation 192 | Revalues: 24202 | GridSize: 15
Generation 193 | Revalues: 24330 | GridSize: 15
Generation 194 | Revalues: 24461 | GridSize: 15
Generation 195 | Revalues: 24578 | GridSize: 15
Generation 196 | Revalues: 24708 | GridSize: 15
Generation 197 | Revalues: 24835 | GridSize: 15
Generation 198 | Revalues: 24957 | GridSize: 15
Generation 199 | Revalues: 25088 | GridSize: 15
Generation 200 | Revalues: 25218 | GridSize: 15
Generation 201 | Revalues: 25342 | GridSize: 15
Generation 202 | Revalues: 25472 | GridSize: 15
Generation 203 | Revalues: 25594 | GridSize: 15
Generation 204 | Revalues: 25720 | GridSize: 15
Generation 205 | Revalues: 25840 | GridSize: 15
Generation 206 | Revalues: 25963 | GridSize: 15
Generation 207 | Revalues: 26089 | GridSize: 15
Generation 208 | Revalues: 26217 | GridSize: 15
Generation 209 | Revalues: 26342 | GridSize: 15
Generation 210 | Revalues: 26464 | GridSize: 15
Generation 211 | Revalues: 26593 | GridSize: 15
Generation 212 | Revalues: 26719 | GridSize: 15
Generation 213 | Revalues: 26841 | GridSize: 15
Generation 214 | Revalues: 26961 | GridSize: 16
Generation 215 | Revalues: 27086 | GridSize: 16
Generation 216 | Revalues: 27210 | GridSize: 16
Generation 217 | Revalues: 27334 | GridSize: 16
Generation 218 | Revalues: 27460 | GridSize: 16
Generation 219 | Revalues: 27591 | GridSize: 16
Generation 220 | Revalues: 27718 | GridSize: 16
Generation 221 | Revalues: 27844 | GridSize: 16
Generation 222 | Revalues: 27975 | GridSize: 16
Generation 223 | Revalues: 28106 | GridSize: 16
Generation 224 | Revalues: 28226 | GridSize: 16
Generation 225 | Revalues: 28354 | GridSize: 16
Generation 226 | Revalues: 28482 | GridSize: 16
Generation 227 | Revalues: 28608 | GridSize: 16
Generation 228 | Revalues: 28733 | GridSize: 16
Generation 229 | Revalues: 28858 | GridSize: 16
Generation 230 | Revalues: 28986 | GridSize: 16
Generation 231 | Revalues: 29116 | GridSize: 16
Generation 232 | Revalues: 29239 | GridSize: 16
Generation 233 | Revalues: 29364 | GridSize: 16
Generation 234 | Revalues: 29491 | GridSize: 16
Generation 235 | Revalues: 29620 | GridSize: 16
Generation 236 | Revalues: 29748 | GridSize: 16
Generation 237 | Revalues: 29879 | GridSize: 16
Generation 238 | Revalues: 30006 | GridSize: 16
