Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 224 | GridSize: 8
Generation 2 | Revalues: 347 | GridSize: 10
Generation 3 | Revalues: 470 | GridSize: 8
Generation 4 | Revalues: 593 | GridSize: 9
Generation 5 | Revalues: 717 | GridSize: 8
Generation 6 | Revalues: 847 | GridSize: 9
Generation 7 | Revalues: 973 | GridSize: 9
Generation 8 | Revalues: 1101 | GridSize: 8
Generation 9 | Revalues: 1224 | GridSize: 8
Generation 10 | Revalues: 1349 | GridSize: 8
Generation 11 | Revalues: 1474 | GridSize: 9
Generation 12 | Revalues: 1595 | GridSize: 9
Generation 13 | Revalues: 1716 | GridSize: 10
Generation 14 | Revalues: 1844 | GridSize: 10
Generation 15 | Revalues: 1973 | GridSize: 11
Generation 16 | Revalues: 2100 | GridSize: 11
Generation 17 | Revalues: 2230 | GridSize: 11
Generation 18 | Revalues: 2357 | GridSize: 6
Generation 19 | Revalues: 2480 | GridSize: 7
Generation 20 | Revalues: 2606 | GridSize: 7
Generation 21 | Revalues: 2734 | GridSize: 7
Generation 22 | Revalues: 2862 | GridSize: 7
Generation 23 | Revalues: 2990 | GridSize: 9
Generation 24 | Revalues: 3115 | GridSize: 9
Generation 25 | Revalues: 3243 | GridSize: 9
Generation 26 | Revalues: 3370 | GridSize: 9
Generation 27 | Revalues: 3495 | GridSize: 9
Generation 28 | Revalues: 3621 | GridSize: 9
Generation 29 | Revalues: 3747 | GridSize: 9
Generation 30 | Revalues: 3877 | GridSize: 9
Generation 31 | Revalues: 4007 | GridSize: 10
Generation 32 | Revalues: 4142 | GridSize: 10
Generation 33 | Revalues: 4273 | GridSize: 9
Generation 34 | Revalues: 4392 | GridSize: 9
Generation 35 | Revalues: 4520 | GridSize: 10
Generation 36 | Revalues: 4643 | GridSize: 10
Generation 37 | Revalues: 4761 | GridSize: 10
Generation 38 | Revalues: 4886 | GridSize: 10
Generation 39 | Revalues: 5010 | GridSize: 10
Generation 40 | Revalues: 5138 | GridSize: 10
Generation 41 | Revalues: 5269 | GridSize: 10
Generation 42 | Revalues: 5399 | GridSize: 11
Generation 43 | Revalues: 5531 | GridSize: 12
Generation 44 | Revalues: 5664 | GridSize: 12
Generation 45 | Revalues: 5787 | GridSize: 12
Generation 46 | Revalues: 5908 | GridSize: 12
Generation 47 | Revalues: 6036 | GridSize: 12
Generation 48 | Revalues: 6165 | GridSize: 12
Generation 49 | Revalues: 6294 | GridSize: 12
Generation 50 | Revalues: 6418 | GridSize: 12
Generation 51 | Revalues: 6546 | GridSize: 12
Generation 52 | Revalues: 6676 | GridSize: 12
Generation 53 | Revalues: 6802 | GridSize: 12
Generation 54 | Revalues: 6924 | GridSize: 12
Generation 55 | Revalues: 7050 | GridSize: 13
Generation 56 | Revalues: 7174 | GridSize: 13
Generation 57 | Revalues: 7298 | GridSize: 13
Generation 58 | Revalues: 7425 | GridSize: 13
Generation 59 | Revalues: 7548 | GridSize: 13
Generation 60 | Revalues: 7675 | GridSize: 13
Generation 61 | Revalues: 7799 | GridSize: 11
Generation 62 | Revalues: 7921 | GridSize: 11
Generation 63 | Revalues: 8042 | GridSize: 11
Generation 64 | Revalues: 8165 | GridSize: 11
Generation 65 | Revalues: 8294 | GridSize: 11
Generation 66 | Revalues: 8420 | GridSize: 11
Generation 67 | Revalues: 8546 | GridSize: 11
Generation 68 | Revalues: 8669 | GridSize: 11
Generation 69 | Revalues: 8791 | GridSize: 11
Generation 70 | Revalues: 8918 | GridSize: 11
Generation 71 | Revalues: 9045 | GridSize: 10
Generation 72 | Revalues: 9171 | GridSize: 10
Generation 73 | Revalues: 9291 | GridSize: 10
Generation 74 | Revalues: 9414 | GridSize: 10
Generation 75 | Revalues: 9535 | GridSize: 10
Generation 76 | Revalues: 9661 | GridSize: 10
Generation 77 | Revalues: 9787 | GridSize: 10
Generation 78 | Revalues: 9909 | GridSize: 10
Generation 79 | Revalues: 10035 | GridSize: 10
Generation 80 | Revalues: 10163 | GridSize: 10
Generation 81 | Revalues: 10291 | GridSize: 11
Generation 82 | Revalues: 10420 | GridSize: 11
Generation 83 | Revalues: 10547 | GridSize: 11
Generation 84 | Revalues: 10668 | GridSize: 11
Generation 85 | Revalues: 10789 | GridSize: 11
Generation 86 | Revalues: 10910 | GridSize: 11
Generation 87 | Revalues: 11031 | GridSize: 11
Generation 88 | Revalues: 11152 | GridSize: 11
Generation 89 | Revalues: 11276 | GridSize: 11
Generation 90 | Revalues: 11400 | GridSize: 11
Generation 91 | Revalues: 11533 | GridSize: 11
Generation 92 | Revalues: 11661 | GridSize: 12
Generation 93 | Revalues: 11786 | GridSize: 12
Generation 94 | Revalues: 11917 | GridSize: 12
Generation 95 | Revalues: 12038 | GridSize: 12
Generation 96 | Revalues: 12159 | GridSize: 12
Generation 97 | Revalues: 12281 | GridSize: 12
Generation 98 | Revalues: 12408 | GridSize: 12
Generation 99 | Revalues: 12536 | GridSize: 12
Generation 100 | Revalues: 12657 | GridSize: 12
Generation 101 | Revalues: 12776 | GridSize: 12
Generation 102 | Revalues: 12899 | GridSize: 12
Generation 103 | Revalues: 13028 | GridSize: 12
Generation 104 | Revalues: 13156 | GridSize: 12
