Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 229 | GridSize: 7
Generation 2 | Revalues: 353 | GridSize: 6
Generation 3 | Revalues: 480 | GridSize: 9
Generation 4 | Revalues: 612 | GridSize: 5
Generation 5 | Revalues: 734 | GridSize: 6
Generation 6 | Revalues: 858 | GridSize: 6
Generation 7 | Revalues: 977 | GridSize: 7
Generation 8 | Revalues: 1099 | GridSize: 7
Generation 9 | Revalues: 1225 | GridSize: 8
Generation 10 | Revalues: 1361 | GridSize: 8
Generation 11 | Revalues: 1487 | GridSize: 6
Generation 12 | Revalues: 1617 | GridSize: 6
Generation 13 | Revalues: 1738 | GridSize: 6
Generation 14 | Revalues: 1861 | GridSize: 7
Generation 15 | Revalues: 1989 | GridSize: 7
Generation 16 | Revalues: 2109 | GridSize: 7
Generation 17 | Revalues: 2230 | GridSize: 7
Generation 18 | Revalues: 2351 | GridSize: 7
Generation 19 | Revalues: 2474 | GridSize: 7
Generation 20 | Revalues: 2601 | GridSize: 8
Generation 21 | Revalues: 2726 | GridSize: 8
Generation 22 | Revalues: 2852 | GridSize: 8
Generation 23 | Revalues: 2984 | GridSize: 8
Generation 24 | Revalues: 3108 | GridSize: 8
Generation 25 | Revalues: 3231 | GridSize: 8
Generation 26 | Revalues: 3356 | GridSize: 9
Generation 27 | Revalues: 3478 | GridSize: 9
Generation 28 | Revalues: 3605 | GridSize: 9
Generation 29 | Revalues: 3732 | GridSize: 10
Generation 30 | Revalues: 3850 | GridSize: 10
Generation 31 | Revalues: 3969 | GridSize: 10
Generation 32 | Revalues: 4098 | GridSize: 10
Generation 33 | Revalues: 4228 | GridSize: 10
Generation 34 | Revalues: 4356 | GridSize: 10
Generation 35 | Revalues: 4485 | GridSize: 10
Generation 36 | Revalues: 4612 | GridSize: 10
Generation 37 | Revalues: 4739 | GridSize: 10
Generation 38 | Revalues: 4858 | GridSize: 10
Generation 39 | Revalues: 4982 | GridSize: 10
Generation 40 | Revalues: 5108 | GridSize: 10
Generation 41 | Revalues: 5230 | GridSize: 11
Generation 42 | Revalues: 5354 | GridSize: 11
Generation 43 | Revalues: 5480 | GridSize: 11
Generation 44 | Revalues: 5600 | GridSize: 10
Generation 45 | Revalues: 5727 | GridSize: 10
Generation 46 | Revalues: 5861 | GridSize: 10
Generation 47 | Revalues: 5981 | GridSize: 10
Generation 48 | Revalues: 6113 | GridSize: 10
Generation 49 | Revalues: 6240 | GridSize: 10
Generation 50 | Revalues: 6363 | GridSize: 10
Generation 51 | Revalues: 6486 | GridSize: 10
Generation 52 | Revalues: 6614 | GridSize: 10
Generation 53 | Revalues: 6742 | GridSize: 10
Generation 54 | Revalues: 6865 | GridSize: 11
Generation 55 | Revalues: 6995 | GridSize: 11
Generation 56 | Revalues: 7126 | GridSize: 11
Generation 57 | Revalues: 7243 | GridSize: 11
Generation 58 | Revalues: 7365 | GridSize: 11
Generation 59 | Revalues: 7492 | GridSize: 11
Generation 60 | Revalues: 7614 | GridSize: 11
Generation 61 | Revalues: 7740 | GridSize: 11
Generation 62 | Revalues: 7863 | GridSize: 11
Generation 63 | Revalues: 7991 | GridSize: 11
Generation 64 | Revalues: 8120 | GridSize: 11
Generation 65 | Revalues: 8248 | GridSize: 11
Generation 66 | Revalues: 8369 | GridSize: 11
Generation 67 | Revalues: 8494 | GridSize: 11
Generation 68 | Revalues: 8619 | GridSize: 11
Generation 69 | Revalues: 8745 | GridSize: 11
Generation 70 | Revalues: 8866 | GridSize: 11
Generation 71 | Revalues: 8992 | GridSize: 11
Generation 72 | Revalues: 9120 | GridSize: 11
Generation 73 | Revalues: 9246 | GridSize: 11
Generation 74 | Revalues: 9371 | GridSize: 11
Generation 75 | Revalues: 9492 | GridSize: 11
Generation 76 | Revalues: 9611 | GridSize: 11
Generation 77 | Revalues: 9737 | GridSize: 11
Generation 78 | Revalues: 9857 | GridSize: 11
Generation 79 | Revalues: 9984 | GridSize: 11
Generation 80 | Revalues: 10110 | GridSize: 11
Generation 81 | Revalues: 10239 | GridSize: 11
Generation 82 | Revalues: 10367 | GridSize: 11
Generation 83 | Revalues: 10492 | GridSize: 11
Generation 84 | Revalues: 10621 | GridSize: 11
Generation 85 | Revalues: 10742 | GridSize: 11
Generation 86 | Revalues: 10869 | GridSize: 11
Generation 87 | Revalues: 10998 | GridSize: 11
Generation 88 | Revalues: 11126 | GridSize: 11
Generation 89 | Revalues: 11243 | GridSize: 12
Generation 90 | Revalues: 11371 | GridSize: 12
Generation 91 | Revalues: 11500 | GridSize: 12
Generation 92 | Revalues: 11620 | GridSize: 12
Generation 93 | Revalues: 11745 | GridSize: 12
Generation 94 | Revalues: 11868 | GridSize: 12
Generation 95 | Revalues: 11995 | GridSize: 12
Generation 96 | Revalues: 12124 | GridSize: 12
Generation 97 | Revalues: 12250 | GridSize: 12
Generation 98 | Revalues: 12372 | GridSize: 12
Generation 99 | Revalues: 12500 | GridSize: 12
Generation 100 | Revalues: 12624 | GridSize: 12
Generation 101 | Revalues: 12760 | GridSize: 12
Generation 102 | Revalues: 12885 | GridSize: 12
Generation 103 | Revalues: 13008 | GridSize: 12
Generation 104 | Revalues: 13129 | GridSize: 12
Generation 105 | Revalues: 13253 | GridSize: 12
Generation 106 | Revalues: 13371 | GridSize: 12
Generation 107 | Revalues: 13494 | GridSize: 12
Generation 108 | Revalues: 13618 | GridSize: 12
Generation 109 | Revalues: 13743 | GridSize: 12
Generation 110 | Revalues: 13864 | GridSize: 12
Generation 111 | Revalues: 13986 | GridSize: 12
Generation 112 | Revalues: 14114 | GridSize: 12
Generation 113 | Revalues: 14241 | GridSize: 12
Generation 114 | Revalues: 14366 | GridSize: 12
Generation 115 | Revalues: 14492 | GridSize: 12
Generation 116 | Revalues: 14610 | GridSize: 12
Generation 117 | Revalues: 14739 | GridSize: 12
Generation 118 | Revalues: 14867 | GridSize: 12
Generation 119 | Revalues: 14990 | GridSize: 12
Generation 120 | Revalues: 15120 | GridSize: 13
Generation 121 | Revalues: 15242 | GridSize: 13
Generation 122 | Revalues: 15370 | GridSize: 13
Generation 123 | Revalues: 15499 | GridSize: 13
Generation 124 | Revalues: 15628 | GridSize: 13
Generation 125 | Revalues: 15755 | GridSize: 13
Generation 126 | Revalues: 15883 | GridSize: 13
Generation 127 | Revalues: 16005 | GridSize: 13
Generation 128 | Revalues: 16125 | GridSize: 13
Generation 129 | Revalues: 16246 | GridSize: 13
Generation 130 | Revalues: 16371 | GridSize: 13
Generation 131 | Revalues: 16495 | GridSize: 13
Generation 132 | Revalues: 16628 | GridSize: 13
Generation 133 | Revalues: 16761 | GridSize: 13
Generation 134 | Revalues: 16877 | GridSize: 13
Generation 135 | Revalues: 17006 | GridSize: 14
Generation 136 | Revalues: 17135 | GridSize: 14
Generation 137 | Revalues: 17256 | GridSize: 14
Generation 138 | Revalues: 17377 | GridSize: 14
Generation 139 | Revalues: 17500 | GridSize: 14
Generation 140 | Revalues: 17619 | GridSize: 14
Generation 141 | Revalues: 17739 | GridSize: 14
Generation 142 | Revalues: 17862 | GridSize: 14
Generation 143 | Revalues: 17985 | GridSize: 14
Generation 144 | Revalues: 18109 | GridSize: 14
Generation 145 | Revalues: 18234 | GridSize: 14
Generation 146 | Revalues: 18361 | GridSize: 14
Generation 147 | Revalues: 18489 | GridSize: 14
Generation 148 | Revalues: 18610 | GridSize: 14
Generation 149 | Revalues: 18734 | GridSize: 14
Generation 150 | Revalues: 18859 | GridSize: 14
Generation 151 | Revalues: 18978 | GridSize: 14
Generation 152 | Revalues: 19103 | GridSize: 14
Generation 153 | Revalues: 19226 | GridSize: 14
Generation 154 | Revalues: 19348 | GridSize: 14
Generation 155 | Revalues: 19476 | GridSize: 14
Generation 156 | Revalues: 19599 | GridSize: 14
Generation 157 | Revalues: 19722 | GridSize: 14
Generation 158 | Revalues: 19843 | GridSize: 14
Generation 159 | Revalues: 19971 | GridSize: 14
Generation 160 | Revalues: 20100 | GridSize: 14
Generation 161 | Revalues: 20232 | GridSize: 14
Generation 162 | Revalues: 20356 | GridSize: 14
Generation 163 | Revalues: 20480 | GridSize: 14
Generation 164 | Revalues: 20601 | GridSize: 14
Generation 165 | Revalues: 20726 | GridSize: 14
Generation 166 | Revalues: 20858 | GridSize: 14
Generation 167 | Revalues: 20983 | GridSize: 14
Generation 168 | Revalues: 21106 | GridSize: 14
Generation 169 | Revalues: 21233 | GridSize: 14
Generation 170 | Revalues: 21352 | GridSize: 14
Generation 171 | Revalues: 21478 | GridSize: 14
Generation 172 | Revalues: 21599 | GridSize: 14
Generation 173 | Revalues: 21723 | GridSize: 14
Generation 174 | Revalues: 21851 | GridSize: 14
Generation 175 | Revalues: 21980 | GridSize: 14
Generation 176 | Revalues: 22110 | GridSize: 14
Generation 177 | Revalues: 22235 | GridSize: 14
Generation 178 | Revalues: 22358 | GridSize: 14
Generation 179 | Revalues: 22485 | GridSize: 15
Generation 180 | Revalues: 22613 | GridSize: 15
Generation 181 | Revalues: 22741 | GridSize: 13
Generation 182 | Revalues: 22860 | GridSize: 13
Generation 183 | Revalues: 22989 | GridSize: 13
Generation 184 | Revalues: 23111 | GridSize: 13
Generation 185 | Revalues: 23234 | GridSize: 13
Generation 186 | Revalues: 23360 | GridSize: 13
Generation 187 | Revalues: 23484 | GridSize: 13
Generation 188 | Revalues: 23613 | GridSize: 13
Generation 189 | Revalues: 23739 | GridSize: 13
Generation 190 | Revalues: 23869 | GridSize: 13
Generation 191 | Revalues: 23997 | GridSize: 13
Generation 192 | Revalues: 24128 | GridSize: 13
Generation 193 | Revalues: 24251 | GridSize: 13
Generation 194 | Revalues: 24375 | GridSize: 13
Generation 195 | Revalues: 24497 | GridSize: 13
Generation 196 | Revalues: 24627 | GridSize: 13
Generation 197 | Revalues: 24755 | GridSize: 13
Generation 198 | Revalues: 24886 | GridSize: 14
Generation 199 | Revalues: 25012 | GridSize: 14
Generation 200 | Revalues: 25140 | GridSize: 14
Generation 201 | Revalues: 25271 | GridSize: 14
Generation 202 | Revalues: 25393 | GridSize: 14
Generation 203 | Revalues: 25516 | GridSize: 14
Generation 204 | Revalues: 25639 | GridSize: 14
Generation 205 | Revalues: 25767 | GridSize: 14
