Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 227 | GridSize: 7
Generation 2 | Revalues: 352 | GridSize: 9
Generation 3 | Revalues: 474 | GridSize: 12
Generation 4 | Revalues: 596 | GridSize: 14
Generation 5 | Revalues: 721 | GridSize: 14
Generation 6 | Revalues: 848 | GridSize: 14
Generation 7 | Revalues: 971 | GridSize: 15
Generation 8 | Revalues: 1100 | GridSize: 16
Generation 9 | Revalues: 1224 | GridSize: 16
Generation 10 | Revalues: 1350 | GridSize: 16
Generation 11 | Revalues: 1475 | GridSize: 16
Generation 12 | Revalues: 1596 | GridSize: 16
Generation 13 | Revalues: 1719 | GridSize: 17
Generation 14 | Revalues: 1848 | GridSize: 17
Generation 15 | Revalues: 1975 | GridSize: 17
Generation 16 | Revalues: 2095 | GridSize: 16
Generation 17 | Revalues: 2217 | GridSize: 18
Generation 18 | Revalues: 2346 | GridSize: 18
Generation 19 | Revalues: 2478 | GridSize: 16
Generation 20 | Revalues: 2600 | GridSize: 16
Generation 21 | Revalues: 2731 | GridSize: 16
Generation 22 | Revalues: 2850 | GridSize: 16
Generation 23 | Revalues: 2976 | GridSize: 16
Generation 24 | Revalues: 3103 | GridSize: 16
Generation 25 | Revalues: 3229 | GridSize: 14
Generation 26 | Revalues: 3355 | GridSize: 14
Generation 27 | Revalues: 3477 | GridSize: 15
Generation 28 | Revalues: 3606 | GridSize: 15
Generation 29 | Revalues: 3729 | GridSize: 16
Generation 30 | Revalues: 3855 | GridSize: 16
Generation 31 | Revalues: 3978 | GridSize: 16
Generation 32 | Revalues: 4110 | GridSize: 16
Generation 33 | Revalues: 4233 | GridSize: 16
Generation 34 | Revalues: 4363 | GridSize: 16
Generation 35 | Revalues: 4490 | GridSize: 17
Generation 36 | Revalues: 4624 | GridSize: 18
Generation 37 | Revalues: 4749 | GridSize: 18
Generation 38 | Revalues: 4878 | GridSize: 19
Generation 39 | Revalues: 5003 | GridSize: 19
Generation 40 | Revalues: 5127 | GridSize: 19
Generation 41 | Revalues: 5250 | GridSize: 19
Generation 42 | Revalues: 5375 | GridSize: 17
Generation 43 | Revalues: 5504 | GridSize: 13
Generation 44 | Revalues: 5632 | GridSize: 14
Generation 45 | Revalues: 5759 | GridSize: 14
Generation 46 | Revalues: 5883 | GridSize: 14
Generation 47 | Revalues: 6009 | GridSize: 15
Generation 48 | Revalues: 6137 | GridSize: 15
Generation 49 | Revalues: 6263 | GridSize: 15
Generation 50 | Revalues: 6390 | GridSize: 15
Generation 51 | Revalues: 6512 | GridSize: 15
Generation 52 | Revalues: 6641 | GridSize: 17
Generation 53 | Revalues: 6762 | GridSize: 17
Generation 54 | Revalues: 6885 | GridSize: 17
Generation 55 | Revalues: 7013 | GridSize: 17
Generation 56 | Revalues: 7138 | GridSize: 17
Generation 57 | Revalues: 7265 | GridSize: 17
Generation 58 | Revalues: 7394 | GridSize: 17
Generation 59 | Revalues: 7523 | GridSize: 18
Generation 60 | Revalues: 7652 | GridSize: 19
Generation 61 | Revalues: 7780 | GridSize: 19
Generation 62 | Revalues: 7909 | GridSize: 19
Generation 63 | Revalues: 8037 | GridSize: 19
Generation 64 | Revalues: 8163 | GridSize: 19
Generation 65 | Revalues: 8289 | GridSize: 19
Generation 66 | Revalues: 8410 | GridSize: 19
Generation 67 | Revalues: 8540 | GridSize: 19
Generation 68 | Revalues: 8673 | GridSize: 19
Generation 69 | Revalues: 8797 | GridSize: 19
Generation 70 | Revalues: 8922 | GridSize: 20
Generation 71 | Revalues: 9042 | GridSize: 20
Generation 72 | Revalues: 9162 | GridSize: 20
Generation 73 | Revalues: 9288 | GridSize: 20
Generation 74 | Revalues: 9419 | GridSize: 20
Generation 75 | Revalues: 9543 | GridSize: 20
Generation 76 | Revalues: 9667 | GridSize: 20
Generation 77 | Revalues: 9799 | GridSize: 19
Generation 78 | Revalues: 9921 | GridSize: 16
Generation 79 | Revalues: 10045 | GridSize: 16
Generation 80 | Revalues: 10178 | GridSize: 16
Generation 81 | Revalues: 10303 | GridSize: 17
Generation 82 | Revalues: 10426 | GridSize: 15
Generation 83 | Revalues: 10555 | GridSize: 15
Generation 84 | Revalues: 10675 | GridSize: 15
Generation 85 | Revalues: 10799 | GridSize: 15
Generation 86 | Revalues: 10926 | GridSize: 15
Generation 87 | Revalues: 11050 | GridSize: 15
Generation 88 | Revalues: 11178 | GridSize: 15
Generation 89 | Revalues: 11307 | GridSize: 15
