Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 225 | GridSize: 8
Generation 2 | Revalues: 358 | GridSize: 6
Generation 3 | Revalues: 484 | GridSize: 6
Generation 4 | Revalues: 611 | GridSize: 7
Generation 5 | Revalues: 742 | GridSize: 8
Generation 6 | Revalues: 865 | GridSize: 8
Generation 7 | Revalues: 991 | GridSize: 9
Generation 8 | Revalues: 1117 | GridSize: 8
Generation 9 | Revalues: 1245 | GridSize: 10
Generation 10 | Revalues: 1368 | GridSize: 10
Generation 11 | Revalues: 1491 | GridSize: 12
Generation 12 | Revalues: 1618 | GridSize: 12
Generation 13 | Revalues: 1746 | GridSize: 9
Generation 14 | Revalues: 1874 | GridSize: 10
Generation 15 | Revalues: 1990 | GridSize: 10
Generation 16 | Revalues: 2115 | GridSize: 10
Generation 17 | Revalues: 2240 | GridSize: 11
Generation 18 | Revalues: 2368 | GridSize: 13
Generation 19 | Revalues: 2492 | GridSize: 13
Generation 20 | Revalues: 2622 | GridSize: 13
Generation 21 | Revalues: 2744 | GridSize: 12
Generation 22 | Revalues: 2870 | GridSize: 13
Generation 23 | Revalues: 2997 | GridSize: 13
Generation 24 | Revalues: 3126 | GridSize: 13
Generation 25 | Revalues: 3260 | GridSize: 13
Generation 26 | Revalues: 3386 | GridSize: 10
Generation 27 | Revalues: 3515 | GridSize: 11
Generation 28 | Revalues: 3638 | GridSize: 11
Generation 29 | Revalues: 3765 | GridSize: 11
Generation 30 | Revalues: 3886 | GridSize: 11
Generation 31 | Revalues: 4015 | GridSize: 11
Generation 32 | Revalues: 4142 | GridSize: 7
Generation 33 | Revalues: 4267 | GridSize: 7
Generation 34 | Revalues: 4391 | GridSize: 9
Generation 35 | Revalues: 4524 | GridSize: 9
Generation 36 | Revalues: 4652 | GridSize: 9
Generation 37 | Revalues: 4778 | GridSize: 9
Generation 38 | Revalues: 4902 | GridSize: 9
Generation 39 | Revalues: 5030 | GridSize: 10
Generation 40 | Revalues: 5151 | GridSize: 10
Generation 41 | Revalues: 5275 | GridSize: 11
Generation 42 | Revalues: 5403 | GridSize: 11
Generation 43 | Revalues: 5530 | GridSize: 12
Generation 44 | Revalues: 5661 | GridSize: 12
Generation 45 | Revalues: 5786 | GridSize: 12
Generation 46 | Revalues: 5899 | GridSize: 12
Generation 47 | Revalues: 6027 | GridSize: 12
Generation 48 | Revalues: 6154 | GridSize: 12
Generation 49 | Revalues: 6276 | GridSize: 12
Generation 50 | Revalues: 6408 | GridSize: 13
Generation 51 | Revalues: 6536 | GridSize: 13
Generation 52 | Revalues: 6664 | GridSize: 13
Generation 53 | Revalues: 6786 | GridSize: 13
Generation 54 | Revalues: 6912 | GridSize: 13
Generation 55 | Revalues: 7041 | GridSize: 13
Generation 56 | Revalues: 7165 | GridSize: 13
Generation 57 | Revalues: 7288 | GridSize: 13
Generation 58 | Revalues: 7421 | GridSize: 13
Generation 59 | Revalues: 7550 | GridSize: 13
Generation 60 | Revalues: 7678 | GridSize: 13
Generation 61 | Revalues: 7809 | GridSize: 13
Generation 62 | Revalues: 7943 | GridSize: 14
Generation 63 | Revalues: 8075 | GridSize: 14
Generation 64 | Revalues: 8200 | GridSize: 14
Generation 65 | Revalues: 8327 | GridSize: 14
Generation 66 | Revalues: 8453 | GridSize: 14
Generation 67 | Revalues: 8576 | GridSize: 11
Generation 68 | Revalues: 8706 | GridSize: 11
Generation 69 | Revalues: 8821 | GridSize: 11
Generation 70 | Revalues: 8944 | GridSize: 12
Generation 71 | Revalues: 9070 | GridSize: 12
Generation 72 | Revalues: 9195 | GridSize: 12
Generation 73 | Revalues: 9324 | GridSize: 12
Generation 74 | Revalues: 9448 | GridSize: 12
Generation 75 | Revalues: 9573 | GridSize: 13
Generation 76 | Revalues: 9699 | GridSize: 13
Generation 77 | Revalues: 9818 | GridSize: 13
Generation 78 | Revalues: 9945 | GridSize: 13
Generation 79 | Revalues: 10070 | GridSize: 13
Generation 80 | Revalues: 10189 | GridSize: 13
Generation 81 | Revalues: 10319 | GridSize: 13
Generation 82 | Revalues: 10450 | GridSize: 14
Generation 83 | Revalues: 10578 | GridSize: 11
Generation 84 | Revalues: 10698 | GridSize: 11
Generation 85 | Revalues: 10823 | GridSize: 12
Generation 86 | Revalues: 10950 | GridSize: 12
Generation 87 | Revalues: 11078 | GridSize: 12
Generation 88 | Revalues: 11207 | GridSize: 12
Generation 89 | Revalues: 11330 | GridSize: 12
Generation 90 | Revalues: 11459 | GridSize: 12
Generation 91 | Revalues: 11586 | GridSize: 12
Generation 92 | Revalues: 11716 | GridSize: 12
Generation 93 | Revalues: 11836 | GridSize: 12
Generation 94 | Revalues: 11952 | GridSize: 12
Generation 95 | Revalues: 12078 | GridSize: 12
Generation 96 | Revalues: 12204 | GridSize: 12
Generation 97 | Revalues: 12325 | GridSize: 13
Generation 98 | Revalues: 12445 | GridSize: 12
Generation 99 | Revalues: 12564 | GridSize: 12
Generation 100 | Revalues: 12692 | GridSize: 12
Generation 101 | Revalues: 12817 | GridSize: 12
Generation 102 | Revalues: 12939 | GridSize: 13
Generation 103 | Revalues: 13058 | GridSize: 13
Generation 104 | Revalues: 13184 | GridSize: 13
Generation 105 | Revalues: 13310 | GridSize: 13
Generation 106 | Revalues: 13441 | GridSize: 13
Generation 107 | Revalues: 13566 | GridSize: 14
Generation 108 | Revalues: 13698 | GridSize: 14
Generation 109 | Revalues: 13826 | GridSize: 14
Generation 110 | Revalues: 13958 | GridSize: 14
Generation 111 | Revalues: 14086 | GridSize: 14
Generation 112 | Revalues: 14218 | GridSize: 14
Generation 113 | Revalues: 14342 | GridSize: 14
Generation 114 | Revalues: 14471 | GridSize: 14
Generation 115 | Revalues: 14600 | GridSize: 14
Generation 116 | Revalues: 14728 | GridSize: 14
Generation 117 | Revalues: 14854 | GridSize: 14
Generation 118 | Revalues: 14975 | GridSize: 14
Generation 119 | Revalues: 15103 | GridSize: 14
Generation 120 | Revalues: 15225 | GridSize: 14
Generation 121 | Revalues: 15354 | GridSize: 14
Generation 122 | Revalues: 15477 | GridSize: 14
Generation 123 | Revalues: 15602 | GridSize: 14
Generation 124 | Revalues: 15725 | GridSize: 14
Generation 125 | Revalues: 15854 | GridSize: 14
Generation 126 | Revalues: 15973 | GridSize: 14
Generation 127 | Revalues: 16105 | GridSize: 14
