Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 219 | GridSize: 6
Generation 2 | Revalues: 344 | GridSize: 7
Generation 3 | Revalues: 465 | GridSize: 7
Generation 4 | Revalues: 588 | GridSize: 7
Generation 5 | Revalues: 712 | GridSize: 5
Generation 6 | Revalues: 833 | GridSize: 5
Generation 7 | Revalues: 959 | GridSize: 5
Generation 8 | Revalues: 1087 | GridSize: 5
Generation 9 | Revalues: 1215 | GridSize: 6
Generation 10 | Revalues: 1340 | GridSize: 6
Generation 11 | Revalues: 1471 | GridSize: 6
Generation 12 | Revalues: 1598 | GridSize: 6
Generation 13 | Revalues: 1725 | GridSize: 6
Generation 14 | Revalues: 1848 | GridSize: 6
Generation 15 | Revalues: 1976 | GridSize: 7
Generation 16 | Revalues: 2101 | GridSize: 7
Generation 17 | Revalues: 2230 | GridSize: 9
Generation 18 | Revalues: 2346 | GridSize: 9
Generation 19 | Revalues: 2468 | GridSize: 12
Generation 20 | Revalues: 2591 | GridSize: 12
Generation 21 | Revalues: 2719 | GridSize: 12
Generation 22 | Revalues: 2845 | GridSize: 9
Generation 23 | Revalues: 2972 | GridSize: 9
Generation 24 | Revalues: 3091 | GridSize: 9
Generation 25 | Revalues: 3213 | GridSize: 10
Generation 26 | Revalues: 3337 | GridSize: 10
Generation 27 | Revalues: 3463 | GridSize: 10
Generation 28 | Revalues: 3595 | GridSize: 10
Generation 29 | Revalues: 3720 | GridSize: 10
Generation 30 | Revalues: 3841 | GridSize: 11
Generation 31 | Revalues: 3961 | GridSize: 11
Generation 32 | Revalues: 4086 | GridSize: 11
Generation 33 | Revalues: 4215 | GridSize: 12
Generation 34 | Revalues: 4343 | GridSize: 12
Generation 35 | Revalues: 4470 | GridSize: 12
Generation 36 | Revalues: 4595 | GridSize: 11
Generation 37 | Revalues: 4724 | GridSize: 11
Generation 38 | Revalues: 4853 | GridSize: 11
Generation 39 | Revalues: 4982 | GridSize: 11
Generation 40 | Revalues: 5111 | GridSize: 11
Generation 41 | Revalues: 5238 | GridSize: 11
Generation 42 | Revalues: 5360 | GridSize: 11
Generation 43 | Revalues: 5485 | GridSize: 11
Generation 44 | Revalues: 5607 | GridSize: 11
Generation 45 | Revalues: 5733 | GridSize: 12
Generation 46 | Revalues: 5863 | GridSize: 12
Generation 47 | Revalues: 5985 | GridSize: 12
Generation 48 | Revalues: 6115 | GridSize: 12
Generation 49 | Revalues: 6240 | GridSize: 12
Generation 50 | Revalues: 6371 | GridSize: 11
Generation 51 | Revalues: 6497 | GridSize: 11
Generation 52 | Revalues: 6620 | GridSize: 11
Generation 53 | Revalues: 6745 | GridSize: 11
Generation 54 | Revalues: 6867 | GridSize: 11
Generation 55 | Revalues: 6990 | GridSize: 11
Generation 56 | Revalues: 7118 | GridSize: 11
Generation 57 | Revalues: 7240 | GridSize: 11
Generation 58 | Revalues: 7367 | GridSize: 11
Generation 59 | Revalues: 7498 | GridSize: 11
Generation 60 | Revalues: 7626 | GridSize: 11
Generation 61 | Revalues: 7753 | GridSize: 11
Generation 62 | Revalues: 7882 | GridSize: 11
Generation 63 | Revalues: 8012 | GridSize: 11
Generation 64 | Revalues: 8143 | GridSize: 11
Generation 65 | Revalues: 8271 | GridSize: 11
Generation 66 | Revalues: 8403 | GridSize: 11
Generation 67 | Revalues: 8527 | GridSize: 11
Generation 68 | Revalues: 8642 | GridSize: 11
Generation 69 | Revalues: 8765 | GridSize: 11
Generation 70 | Revalues: 8892 | GridSize: 11
Generation 71 | Revalues: 9021 | GridSize: 11
Generation 72 | Revalues: 9148 | GridSize: 11
Generation 73 | Revalues: 9275 | GridSize: 11
Generation 74 | Revalues: 9403 | GridSize: 11
Generation 75 | Revalues: 9524 | GridSize: 11
Generation 76 | Revalues: 9647 | GridSize: 11
Generation 77 | Revalues: 9768 | GridSize: 11
Generation 78 | Revalues: 9893 | GridSize: 11
Generation 79 | Revalues: 10019 | GridSize: 11
Generation 80 | Revalues: 10135 | GridSize: 11
Generation 81 | Revalues: 10254 | GridSize: 9
Generation 82 | Revalues: 10382 | GridSize: 9
Generation 83 | Revalues: 10513 | GridSize: 9
Generation 84 | Revalues: 10642 | GridSize: 10
