Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 222 | GridSize: 5
Generation 2 | Revalues: 340 | GridSize: 7
Generation 3 | Revalues: 458 | GridSize: 7
Generation 4 | Revalues: 582 | GridSize: 7
Generation 5 | Revalues: 705 | GridSize: 7
Generation 6 | Revalues: 834 | GridSize: 7
Generation 7 | Revalues: 959 | GridSize: 8
Generation 8 | Revalues: 1078 | GridSize: 8
Generation 9 | Revalues: 1209 | GridSize: 9
Generation 10 | Revalues: 1334 | GridSize: 9
Generation 11 | Revalues: 1456 | GridSize: 7
Generation 12 | Revalues: 1583 | GridSize: 8
Generation 13 | Revalues: 1712 | GridSize: 8
Generation 14 | Revalues: 1833 | GridSize: 8
Generation 15 | Revalues: 1962 | GridSize: 9
Generation 16 | Revalues: 2085 | GridSize: 9
Generation 17 | Revalues: 2212 | GridSize: 9
Generation 18 | Revalues: 2340 | GridSize: 9
Generation 19 | Revalues: 2461 | GridSize: 10
Generation 20 | Revalues: 2590 | GridSize: 10
Generation 21 | Revalues: 2708 | GridSize: 10
Generation 22 | Revalues: 2826 | GridSize: 10
Generation 23 | Revalues: 2954 | GridSize: 10
Generation 24 | Revalues: 3086 | GridSize: 10
Generation 25 | Revalues: 3206 | GridSize: 10
Generation 26 | Revalues: 3331 | GridSize: 10
Generation 27 | Revalues: 3455 | GridSize: 10
Generation 28 | Revalues: 3589 | GridSize: 10
Generation 29 | Revalues: 3722 | GridSize: 10
Generation 30 | Revalues: 3850 | GridSize: 10
Generation 31 | Revalues: 3977 | GridSize: 11
Generation 32 | Revalues: 4106 | GridSize: 11
Generation 33 | Revalues: 4233 | GridSize: 11
Generation 34 | Revalues: 4368 | GridSize: 11
Generation 35 | Revalues: 4489 | GridSize: 11
Generation 36 | Revalues: 4613 | GridSize: 11
Generation 37 | Revalues: 4741 | GridSize: 11
Generation 38 | Revalues: 4865 | GridSize: 11
Generation 39 | Revalues: 4991 | GridSize: 11
Generation 40 | Revalues: 5106 | GridSize: 11
Generation 41 | Revalues: 5226 | GridSize: 11
Generation 42 | Revalues: 5355 | GridSize: 12
Generation 43 | Revalues: 5482 | GridSize: 12
Generation 44 | Revalues: 5611 | GridSize: 12
Generation 45 | Revalues: 5736 | GridSize: 14
Generation 46 | Revalues: 5864 | GridSize: 14
Generation 47 | Revalues: 5988 | GridSize: 14
Generation 48 | Revalues: 6115 | GridSize: 14
Generation 49 | Revalues: 6240 | GridSize: 14
Generation 50 | Revalues: 6371 | GridSize: 14
Generation 51 | Revalues: 6498 | GridSize: 14
Generation 52 | Revalues: 6621 | GridSize: 14
Generation 53 | Revalues: 6745 | GridSize: 14
Generation 54 | Revalues: 6875 | GridSize: 14
Generation 55 | Revalues: 7006 | GridSize: 14
Generation 56 | Revalues: 7127 | GridSize: 14
Generation 57 | Revalues: 7249 | GridSize: 14
Generation 58 | Revalues: 7369 | GridSize: 14
Generation 59 | Revalues: 7492 | GridSize: 14
Generation 60 | Revalues: 7614 | GridSize: 14
Generation 61 | Revalues: 7740 | GridSize: 14
Generation 62 | Revalues: 7872 | GridSize: 14
Generation 63 | Revalues: 7994 | GridSize: 14
Generation 64 | Revalues: 8121 | GridSize: 14
Generation 65 | Revalues: 8248 | GridSize: 14
Generation 66 | Revalues: 8375 | GridSize: 14
Generation 67 | Revalues: 8496 | GridSize: 15
Generation 68 | Revalues: 8624 | GridSize: 15
Generation 69 | Revalues: 8754 | GridSize: 15
Generation 70 | Revalues: 8882 | GridSize: 15
Generation 71 | Revalues: 9006 | GridSize: 15
Generation 72 | Revalues: 9128 | GridSize: 12
Generation 73 | Revalues: 9254 | GridSize: 12
Generation 74 | Revalues: 9378 | GridSize: 12
Generation 75 | Revalues: 9502 | GridSize: 12
Generation 76 | Revalues: 9628 | GridSize: 12
Generation 77 | Revalues: 9758 | GridSize: 13
Generation 78 | Revalues: 9883 | GridSize: 13
Generation 79 | Revalues: 10014 | GridSize: 13
Generation 80 | Revalues: 10135 | GridSize: 13
Generation 81 | Revalues: 10258 | GridSize: 13
Generation 82 | Revalues: 10384 | GridSize: 13
Generation 83 | Revalues: 10512 | GridSize: 13
Generation 84 | Revalues: 10637 | GridSize: 13
Generation 85 | Revalues: 10764 | GridSize: 13
Generation 86 | Revalues: 10885 | GridSize: 13
Generation 87 | Revalues: 11012 | GridSize: 13
Generation 88 | Revalues: 11141 | GridSize: 13
Generation 89 | Revalues: 11265 | GridSize: 13
Generation 90 | Revalues: 11391 | GridSize: 11
Generation 91 | Revalues: 11515 | GridSize: 11
Generation 92 | Revalues: 11645 | GridSize: 12
Generation 93 | Revalues: 11773 | GridSize: 12
Generation 94 | Revalues: 11899 | GridSize: 12
Generation 95 | Revalues: 12025 | GridSize: 12
Generation 96 | Revalues: 12143 | GridSize: 12
Generation 97 | Revalues: 12270 | GridSize: 12
Generation 98 | Revalues: 12391 | GridSize: 12
Generation 99 | Revalues: 12519 | GridSize: 12
Generation 100 | Revalues: 12644 | GridSize: 12
Generation 101 | Revalues: 12764 | GridSize: 12
Generation 102 | Revalues: 12888 | GridSize: 12
Generation 103 | Revalues: 13022 | GridSize: 12
Generation 104 | Revalues: 13147 | GridSize: 12
Generation 105 | Revalues: 13275 | GridSize: 12
Generation 106 | Revalues: 13406 | GridSize: 13
Generation 107 | Revalues: 13538 | GridSize: 13
Generation 108 | Revalues: 13662 | GridSize: 13
Generation 109 | Revalues: 13780 | GridSize: 13
Generation 110 | Revalues: 13908 | GridSize: 13
Generation 111 | Revalues: 14032 | GridSize: 13
Generation 112 | Revalues: 14156 | GridSize: 13
Generation 113 | Revalues: 14289 | GridSize: 13
Generation 114 | Revalues: 14422 | GridSize: 13
Generation 115 | Revalues: 14555 | GridSize: 13
Generation 116 | Revalues: 14685 | GridSize: 13
Generation 117 | Revalues: 14815 | GridSize: 14
Generation 118 | Revalues: 14945 | GridSize: 14
Generation 119 | Revalues: 15071 | GridSize: 14
Generation 120 | Revalues: 15197 | GridSize: 14
Generation 121 | Revalues: 15323 | GridSize: 14
Generation 122 | Revalues: 15454 | GridSize: 14
Generation 123 | Revalues: 15584 | GridSize: 14
Generation 124 | Revalues: 15706 | GridSize: 14
Generation 125 | Revalues: 15834 | GridSize: 14
Generation 126 | Revalues: 15960 | GridSize: 14
Generation 127 | Revalues: 16090 | GridSize: 15
Generation 128 | Revalues: 16215 | GridSize: 15
Generation 129 | Revalues: 16337 | GridSize: 15
Generation 130 | Revalues: 16467 | GridSize: 15
Generation 131 | Revalues: 16597 | GridSize: 15
Generation 132 | Revalues: 16721 | GridSize: 15
Generation 133 | Revalues: 16855 | GridSize: 15
Generation 134 | Revalues: 16979 | GridSize: 15
Generation 135 | Revalues: 17106 | GridSize: 15
Generation 136 | Revalues: 17234 | GridSize: 15
Generation 137 | Revalues: 17353 | GridSize: 15
Generation 138 | Revalues: 17479 | GridSize: 15
Generation 139 | Revalues: 17607 | GridSize: 15
Generation 140 | Revalues: 17734 | GridSize: 15
Generation 141 | Revalues: 17856 | GridSize: 15
Generation 142 | Revalues: 17980 | GridSize: 15
Generation 143 | Revalues: 18109 | GridSize: 15
Generation 144 | Revalues: 18231 | GridSize: 15
Generation 145 | Revalues: 18354 | GridSize: 16
Generation 146 | Revalues: 18474 | GridSize: 16
Generation 147 | Revalues: 18599 | GridSize: 16
Generation 148 | Revalues: 18728 | GridSize: 16
Generation 149 | Revalues: 18854 | GridSize: 16
Generation 150 | Revalues: 18976 | GridSize: 16
Generation 151 | Revalues: 19106 | GridSize: 16
Generation 152 | Revalues: 19239 | GridSize: 16
Generation 153 | Revalues: 19362 | GridSize: 16
Generation 154 | Revalues: 19488 | GridSize: 16
Generation 155 | Revalues: 19614 | GridSize: 16
Generation 156 | Revalues: 19735 | GridSize: 16
Generation 157 | Revalues: 19857 | GridSize: 16
Generation 158 | Revalues: 19985 | GridSize: 16
Generation 159 | Revalues: 20110 | GridSize: 16
Generation 160 | Revalues: 20232 | GridSize: 16
Generation 161 | Revalues: 20358 | GridSize: 16
Generation 162 | Revalues: 20483 | GridSize: 17
Generation 163 | Revalues: 20608 | GridSize: 17
Generation 164 | Revalues: 20737 | GridSize: 17
Generation 165 | Revalues: 20866 | GridSize: 17
Generation 166 | Revalues: 20997 | GridSize: 17
Generation 167 | Revalues: 21124 | GridSize: 17
Generation 168 | Revalues: 21245 | GridSize: 17
Generation 169 | Revalues: 21371 | GridSize: 17
Generation 170 | Revalues: 21503 | GridSize: 18
Generation 171 | Revalues: 21630 | GridSize: 18
Generation 172 | Revalues: 21755 | GridSize: 18
Generation 173 | Revalues: 21884 | GridSize: 18
Generation 174 | Revalues: 22012 | GridSize: 19
Generation 175 | Revalues: 22133 | GridSize: 19
Generation 176 | Revalues: 22261 | GridSize: 19
Generation 177 | Revalues: 22389 | GridSize: 19
Generation 178 | Revalues: 22520 | GridSize: 19
Generation 179 | Revalues: 22651 | GridSize: 19
Generation 180 | Revalues: 22782 | GridSize: 19
Generation 181 | Revalues: 22903 | GridSize: 19
Generation 182 | Revalues: 23024 | GridSize: 19
Generation 183 | Revalues: 23140 | GridSize: 19
Generation 184 | Revalues: 23262 | GridSize: 19
Generation 185 | Revalues: 23384 | GridSize: 19
Generation 186 | Revalues: 23505 | GridSize: 19
Generation 187 | Revalues: 23626 | GridSize: 19
Generation 188 | Revalues: 23756 | GridSize: 19
Generation 189 | Revalues: 23886 | GridSize: 19
Generation 190 | Revalues: 24017 | GridSize: 19
Generation 191 | Revalues: 24138 | GridSize: 19
Generation 192 | Revalues: 24268 | GridSize: 19
Generation 193 | Revalues: 24396 | GridSize: 20
Generation 194 | Revalues: 24523 | GridSize: 20
Generation 195 | Revalues: 24654 | GridSize: 20
Generation 196 | Revalues: 24778 | GridSize: 20
Generation 197 | Revalues: 24903 | GridSize: 20
Generation 198 | Revalues: 25034 | GridSize: 20
Generation 199 | Revalues: 25158 | GridSize: 21
Generation 200 | Revalues: 25289 | GridSize: 21
Generation 201 | Revalues: 25412 | GridSize: 21
Generation 202 | Revalues: 25539 | GridSize: 21
Generation 203 | Revalues: 25668 | GridSize: 21
Generation 204 | Revalues: 25792 | GridSize: 21
Generation 205 | Revalues: 25916 | GridSize: 21
Generation 206 | Revalues: 26043 | GridSize: 21
Generation 207 | Revalues: 26166 | GridSize: 21
Generation 208 | Revalues: 26293 | GridSize: 21
Generation 209 | Revalues: 26416 | GridSize: 21
Generation 210 | Revalues: 26546 | GridSize: 21
Generation 211 | Revalues: 26674 | GridSize: 21
Generation 212 | Revalues: 26803 | GridSize: 21
Generation 213 | Revalues: 26924 | GridSize: 21
Generation 214 | Revalues: 27047 | GridSize: 21
Generation 215 | Revalues: 27172 | GridSize: 21
Generation 216 | Revalues: 27294 | GridSize: 21
Generation 217 | Revalues: 27422 | GridSize: 21
Generation 218 | Revalues: 27552 | GridSize: 21
Generation 219 | Revalues: 27676 | GridSize: 21
Generation 220 | Revalues: 27801 | GridSize: 22
Generation 221 | Revalues: 27932 | GridSize: 22
Generation 222 | Revalues: 28060 | GridSize: 22
Generation 223 | Revalues: 28184 | GridSize: 22
Generation 224 | Revalues: 28310 | GridSize: 23
Generation 225 | Revalues: 28435 | GridSize: 23
Generation 226 | Revalues: 28555 | GridSize: 23
Generation 227 | Revalues: 28682 | GridSize: 23
Generation 228 | Revalues: 28805 | GridSize: 23
Generation 229 | Revalues: 28930 | GridSize: 23
Generation 230 | Revalues: 29054 | GridSize: 23
Generation 231 | Revalues: 29180 | GridSize: 23
